Server,DATETIME,CPULOAD
CIHAZ_301,2020-05-15 00:45:00+03:00,4.744166666666667
CIHAZ_301,2020-05-15 05:00:00+03:00,2.8974999999999995
CIHAZ_301,2020-05-15 05:30:00+03:00,5.069166666666667
CIHAZ_301,2020-05-15 06:30:00+03:00,3.43875
CIHAZ_301,2020-05-15 07:30:00+03:00,4.8175
CIHAZ_301,2020-05-15 08:00:00+03:00,5.541666666666667
CIHAZ_301,2020-05-15 08:15:00+03:00,5.75
CIHAZ_301,2020-05-15 11:00:00+03:00,11.935416666666667
CIHAZ_301,2020-05-15 11:15:00+03:00,12.039583333333333
CIHAZ_301,2020-05-15 11:30:00+03:00,12.174166666666666
CIHAZ_301,2020-05-15 11:45:00+03:00,15.132083333333334
CIHAZ_301,2020-05-15 12:00:00+03:00,12.91375
CIHAZ_301,2020-05-15 12:45:00+03:00,14.967083333333333
CIHAZ_301,2020-05-15 13:45:00+03:00,14.292083333333332
CIHAZ_301,2020-05-15 14:45:00+03:00,14.625416666666666
CIHAZ_301,2020-05-15 18:30:00+03:00,12.804583333333333
CIHAZ_301,2020-05-15 18:45:00+03:00,12.591666666666667
CIHAZ_301,2020-05-15 19:00:00+03:00,15.406666666666666
CIHAZ_301,2020-05-16 00:15:00+03:00,5.53
CIHAZ_301,2020-05-16 00:30:00+03:00,5.0808333333333335
CIHAZ_301,2020-05-16 05:00:00+03:00,2.889583333333334
CIHAZ_301,2020-05-16 05:15:00+03:00,2.8049999999999997
CIHAZ_301,2020-05-16 05:30:00+03:00,2.8529166666666668
CIHAZ_301,2020-05-16 08:30:00+03:00,4.83
CIHAZ_301,2020-05-16 09:15:00+03:00,5.607499999999999
CIHAZ_301,2020-05-17 00:45:00+03:00,4.777083333333334
CIHAZ_301,2020-05-17 05:00:00+03:00,2.9295833333333334
CIHAZ_301,2020-05-17 05:30:00+03:00,2.9112500000000003
CIHAZ_301,2020-05-17 09:00:00+03:00,4.525416666666667
CIHAZ_301,2020-05-17 09:15:00+03:00,4.7725
CIHAZ_301,2020-05-17 09:45:00+03:00,5.194583333333333
CIHAZ_301,2020-05-17 10:30:00+03:00,5.614999999999999
CIHAZ_301,2020-05-18 00:00:00+03:00,5.52
CIHAZ_301,2020-05-18 00:30:00+03:00,4.786666666666666
CIHAZ_301,2020-05-18 00:45:00+03:00,4.5616666666666665
CIHAZ_301,2020-05-18 04:30:00+03:00,2.873333333333333
CIHAZ_301,2020-05-18 05:15:00+03:00,2.842916666666667
CIHAZ_301,2020-05-18 05:30:00+03:00,2.855
CIHAZ_301,2020-05-18 08:00:00+03:00,4.555833333333333
CIHAZ_301,2020-05-18 08:15:00+03:00,4.73125
CIHAZ_301,2020-05-18 09:00:00+03:00,5.745416666666666
CIHAZ_301,2020-05-19 00:00:00+03:00,5.671250000000001
CIHAZ_301,2020-05-19 02:45:00+03:00,4.552083333333333
CIHAZ_301,2020-05-19 05:30:00+03:00,2.890833333333333
CIHAZ_301,2020-05-19 08:30:00+03:00,4.6425
CIHAZ_301,2020-05-19 15:00:00+03:00,11.618333333333332
CIHAZ_301,2020-05-19 15:15:00+03:00,12.282499999999999
CIHAZ_301,2020-05-19 16:15:00+03:00,14.849166666666667
CIHAZ_301,2020-05-19 21:00:00+03:00,12.124583333333334
CIHAZ_301,2020-05-19 21:15:00+03:00,12.27125
CIHAZ_301,2020-05-20 01:15:00+03:00,4.5687500000000005
CIHAZ_301,2020-05-20 05:45:00+03:00,5.11125
CIHAZ_301,2020-05-20 07:15:00+03:00,4.5754166666666665
CIHAZ_301,2020-05-20 08:00:00+03:00,5.765833333333333
CIHAZ_301,2020-05-20 10:45:00+03:00,11.506666666666668
CIHAZ_301,2020-05-20 11:00:00+03:00,11.95125
CIHAZ_301,2020-05-20 11:15:00+03:00,12.280416666666667
CIHAZ_301,2020-05-20 11:30:00+03:00,12.679583333333333
CIHAZ_301,2020-05-20 13:00:00+03:00,16.823333333333334
CIHAZ_301,2020-05-20 13:45:00+03:00,14.395000000000001
CIHAZ_301,2020-05-20 14:00:00+03:00,15.95375
CIHAZ_301,2020-05-20 14:45:00+03:00,14.457916666666668
CIHAZ_301,2020-05-20 18:15:00+03:00,12.801250000000001
CIHAZ_301,2020-05-20 18:30:00+03:00,12.62
CIHAZ_301,2020-05-20 18:45:00+03:00,12.527916666666668
CIHAZ_301,2020-05-20 19:00:00+03:00,12.051250000000001
CIHAZ_301,2020-05-20 20:15:00+03:00,12.535833333333334
CIHAZ_301,2020-05-21 00:15:00+03:00,5.8183333333333325
CIHAZ_301,2020-05-21 01:00:00+03:00,4.6325
CIHAZ_301,2020-05-21 02:30:00+03:00,4.715416666666667
CIHAZ_301,2020-05-21 07:30:00+03:00,4.825833333333333
CIHAZ_301,2020-05-21 08:00:00+03:00,5.5825
CIHAZ_301,2020-05-21 11:30:00+03:00,11.9625
CIHAZ_301,2020-05-21 11:45:00+03:00,12.204583333333334
CIHAZ_301,2020-05-21 12:00:00+03:00,12.456666666666665
CIHAZ_301,2020-05-21 12:15:00+03:00,12.393749999999999
CIHAZ_301,2020-05-21 12:30:00+03:00,12.337916666666667
CIHAZ_301,2020-05-21 13:00:00+03:00,12.737083333333333
CIHAZ_301,2020-05-21 13:15:00+03:00,12.809583333333334
CIHAZ_301,2020-05-21 17:00:00+03:00,14.787916666666666
CIHAZ_301,2020-05-21 18:00:00+03:00,16.138749999999998
CIHAZ_301,2020-05-21 18:15:00+03:00,12.540416666666667
CIHAZ_301,2020-05-21 18:30:00+03:00,12.155416666666667
CIHAZ_301,2020-05-21 18:45:00+03:00,12.15125
CIHAZ_301,2020-05-21 19:00:00+03:00,11.609166666666667
CIHAZ_301,2020-05-22 00:45:00+03:00,5.10125
CIHAZ_301,2020-05-22 08:00:00+03:00,5.7941666666666665
CIHAZ_301,2020-05-22 10:45:00+03:00,11.537083333333333
CIHAZ_301,2020-05-22 11:00:00+03:00,12.005416666666667
CIHAZ_301,2020-05-22 11:15:00+03:00,12.510416666666666
CIHAZ_301,2020-05-22 11:30:00+03:00,12.732083333333334
CIHAZ_301,2020-05-22 13:30:00+03:00,14.601666666666667
CIHAZ_301,2020-05-22 13:45:00+03:00,14.959583333333333
CIHAZ_301,2020-05-22 14:00:00+03:00,14.829166666666666
CIHAZ_301,2020-05-22 14:15:00+03:00,14.676666666666668
CIHAZ_301,2020-05-22 14:30:00+03:00,14.687916666666666
CIHAZ_301,2020-05-22 14:45:00+03:00,18.03625
CIHAZ_301,2020-05-22 15:00:00+03:00,15.000416666666666
CIHAZ_301,2020-05-22 15:15:00+03:00,14.962916666666667
CIHAZ_301,2020-05-22 15:30:00+03:00,14.762083333333335
CIHAZ_301,2020-05-22 15:45:00+03:00,15.917499999999999
CIHAZ_301,2020-05-22 16:00:00+03:00,14.787083333333333
CIHAZ_301,2020-05-22 16:15:00+03:00,14.6825
